"origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","date"
"PDX",2014,1,1,0,44.96,41,85.9,290,3.45234,3.9728838252,0,1026.9,8,2014-01-01 00:00:00
"PDX",2014,1,1,1,44.96,39.92,82.38,290,6.90468,7.9457676504,0,1027.3,9,2014-01-01 01:00:00
"PDX",2014,1,1,2,44.06,39.92,85.25,330,5.7539,6.621473042,0,1027.4,9,2014-01-01 02:00:00
"PDX",2014,1,1,3,44.06,39.92,85.25,280,6.90468,7.9457676504,0,1027.6,9,2014-01-01 03:00:00
"PDX",2014,1,1,4,42.98,41,92.65,290,5.7539,6.621473042,0,NA,7,2014-01-01 04:00:00
"PDX",2014,1,1,5,42.98,41,92.65,270,5.7539,6.621473042,0,NA,6,2014-01-01 05:00:00
"PDX",2014,1,1,6,42.98,42.08,96.6,290,3.45234,3.9728838252,0,1028.2,0.25,2014-01-01 06:00:00
"PDX",2014,1,1,7,42.8,42.8,100,0,0,0,0,NA,0.25,2014-01-01 07:00:00
"PDX",2014,1,1,8,42.08,42.08,100,0,0,0,0,NA,0.25,2014-01-01 08:00:00
"PDX",2014,1,1,9,42.08,41,95.92,90,5.7539,6.621473042,0,NA,0.25,2014-01-01 09:00:00
"PDX",2014,1,1,10,41,41,100,70,4.60312,5.2971784336,0,NA,0.25,2014-01-01 10:00:00
"PDX",2014,1,1,11,42.98,41,92.65,60,3.45234,3.9728838252,0,NA,0.25,2014-01-01 11:00:00
"PDX",2014,1,1,12,42.98,39.92,88.85,0,0,0,0,NA,0.25,2014-01-01 12:00:00
"PDX",2014,1,1,13,42.98,39.02,85.79,0,0,0,0,NA,0.25,2014-01-01 13:00:00
"PDX",2014,1,1,14,44.06,39.02,82.31,300,4.60312,5.2971784336,0,1028.7,0.25,2014-01-01 14:00:00
"PDX",2014,1,1,15,42.08,37.94,85.13,0,0,0,0,1028.6,0.25,2014-01-01 15:00:00
"PDX",2014,1,1,16,42.98,37.04,79.38,70,4.60312,5.2971784336,0,NA,0.25,2014-01-01 16:00:00
